Tutorial Group,Team Assigned,Student ID,School,Name,Gender,CGPA
G-01,Team 01,1383,CoB (NBS),Areeba Khan,F,4.19
G-01,Team 01,2091,EEE,Adlan Bin Rahman,M,4.2
G-01,Team 01,235,CCDS,Ming Zhang,M,4.06
G-01,Team 01,2650,SoH,Nurul Shafika,F,4.09
G-01,Team 01,2776,CCEB,Siddharth Nair,M,4.14
G-01,Team 02,1417,CoE,Darren Lee,M,4.12
G-01,Team 02,2230,CoB (NBS),Harlow Wang,F,4.18
G-01,Team 02,3148,EEE,Gabriel Young,M,3.88
G-01,Team 02,592,MSE,Zara Chang,F,4.11
G-01,Team 02,71,SoH,Savannah Taylor,F,4.19
G-01,Team 03,1645,CoE,Zachary Wu,M,3.93
G-01,Team 03,4338,SPMS,Sana Jain,F,4.22
G-01,Team 03,4520,EEE,Henry Foster,M,4.11
G-01,Team 03,567,CoB (NBS),Isabella Thompson,F,4.03
G-01,Team 03,945,MAE,Han Li,F,4.1
G-01,Team 04,1329,NIE,Nguyen Van Sam,M,3.85
G-01,Team 04,1555,MAE,Prerna Gupta,F,4.04
G-01,Team 04,2417,SSS,Truong Minh Chau,F,3.88
G-01,Team 04,4576,EEE,Jie Zhang,M,4.03
G-01,Team 04,809,CoB (NBS),Nisha Das,F,4.26
G-01,Team 05,1271,SSS,Priya Singh,F,4.17
G-01,Team 05,2326,CoB (NBS),Vivi Dwi,F,3.95
G-01,Team 05,3989,WKW SCI,Anthony Liu,M,4.15
G-01,Team 05,5119,ADM,Nhung Vu,F,4.04
G-01,Team 05,527,EEE,Mohit Desai,M,4.06
G-01,Team 06,3628,EEE,Omer Ahmed,M,4.06
G-01,Team 06,4479,CCDS,Amelia Kim,F,4.11
G-01,Team 06,4820,CoE,Meera Singh,F,4.22
G-01,Team 06,588,MAE,Lucas Walker,M,4.06
G-01,Team 06,659,SSS,Maria Ivanovna,F,4.2
G-01,Team 07,162,SSS,Lila Patel,F,4.07
G-01,Team 07,1841,MAE,Jett Morales,M,4.12
G-01,Team 07,3861,ASE,Layla Torres,F,4.52
G-01,Team 07,3930,EEE,Xun Wei,F,4.18
G-01,Team 07,5002,CCDS,Aarav Singh,M,4.02
G-01,Team 08,2069,SSS,Kathy Lau,F,4.48
G-01,Team 08,2151,EEE,Mei Hong,F,4.02
G-01,Team 08,2353,SBS,Karen Wong,F,3.95
G-01,Team 08,2818,CoB (NBS),Oliver Tan,M,4.09
G-01,Team 08,5477,SoH,Vikram Desai,M,4.09
G-01,Team 09,1075,CoB (NBS),Felix Yip,M,4.08
G-01,Team 09,2115,EEE,Anya Kumar,F,4.03
G-01,Team 09,4657,SoH,Oleg Petrovich,M,4.0
G-01,Team 09,5703,SPMS,Karen Lee,F,4.12
G-01,Team 09,75,CCDS,Sakina Ahmed,F,4.03
G-01,Team 10,288,CoB (NBS),Ajay Verma,M,4.01
G-01,Team 10,3838,EEE,Aarti Nair,F,4.05
G-01,Team 10,4402,CCDS,Grace Turner,F,4.08
G-01,Team 10,4563,WKW SCI,Anjali Patel,F,4.01
G-01,Team 10,5708,SoH,Ananya Ramesh,M,4.2
G-02,Team 01,1726,CCEB,Lara Li,F,4.2
G-02,Team 01,3501,SoH,Derek Adams,M,4.05
G-02,Team 01,3615,MSE,Shalini Pillai,F,4.22
G-02,Team 01,5103,CCDS,Ki-Hoon Kim,M,4.03
G-02,Team 01,5802,CEE,Addison Chen,F,4.03
G-02,Team 02,1130,CCDS,Yuri Chekhov,M,4.03
G-02,Team 02,1814,CCEB,Mingjing,F,4.05
G-02,Team 02,229,CoB (NBS),Lana Turner,F,4.17
G-02,Team 02,5073,SoH,Quinn Lee,M,4.01
G-02,Team 02,5994,MSE,Zain Qureshi,F,4.11
G-02,Team 03,1877,CCDS,Zhengrong,M,4.2
G-02,Team 03,2788,MSE,Carter Moore,M,4.17
G-02,Team 03,3636,CCEB,Nadia Iqbal,F,4.16
G-02,Team 03,5080,CoB (NBS),Mira Lin,F,4.15
G-02,Team 03,5996,MAE,Fatima Yusof,F,4.19
G-02,Team 04,1428,MAE,Selena Tan,F,4.17
G-02,Team 04,3212,CoB (NBS),Priya Gupta,F,4.07
G-02,Team 04,3527,WKW SCI,Eli Walker,M,4.19
G-02,Team 04,5226,CCEB,Patricia Wong,F,4.18
G-02,Team 04,586,EEE,Isaiah Turner,M,4.18
G-02,Team 05,321,SoH,Anya Chua,F,4.01
G-02,Team 05,3523,WKW SCI,Haroon Ali,M,3.95
G-02,Team 05,4392,EEE,Nathaniel Adams,M,4.2
G-02,Team 05,4558,MAE,Shirley Tan,F,4.06
G-02,Team 05,4759,CCEB,Xiu Li,F,4.03
G-02,Team 06,3026,NIE,David Ho,M,4.0
G-02,Team 06,3882,CCEB,Yoshiko Mori,F,4.03
G-02,Team 06,4123,NIE,Nguyen Thi Phuong,F,4.03
G-02,Team 06,4453,SSS,Jesse Bennett,M,4.03
G-02,Team 06,4738,SSS,Hanafi Bin Mohd,F,4.05
G-02,Team 07,1965,SBS,Stella Bryant,F,3.88
G-02,Team 07,2473,SPMS,Jasper Lim,M,4.12
G-02,Team 07,248,SSS,Winston Villanueva,M,4.03
G-02,Team 07,3611,CCDS,Sofia Chandra,F,4.22
G-02,Team 07,4851,SSS,Fatima Rani,F,4.09
G-02,Team 08,2547,CCDS,Lila Zhao,F,4.01
G-02,Team 08,2611,CoB (NBS),Yang Zhang,M,4.07
G-02,Team 08,2712,SBS,Mei Zhao,F,4.12
G-02,Team 08,3533,CEE,Izzat Bin Ibrahim,M,4.15
G-02,Team 08,4624,EEE,Tina Tan,F,4.03
G-02,Team 09,1455,ADM,Sophia Koh,F,4.15
G-02,Team 09,2052,EEE,Layla Collins,F,4.05
G-02,Team 09,4006,CEE,Ali Abubakar,M,4.12
G-02,Team 09,460,CCDS,Brianna Johnson,F,4.1
G-02,Team 09,5371,SBS,Lina Binti Ali,F,4.19
G-02,Team 10,1765,CCDS,Aadhya Sharma,F,4.01
G-02,Team 10,3568,ASE,Tanya Sharma,F,4.03
G-02,Team 10,3926,EEE,Gisela Tan,F,4.19
G-02,Team 10,5750,WKW SCI,Chunhua,F,3.9
G-02,Team 10,764,CEE,Ahmad Ramlie,M,4.02
G-03,Team 01,1144,MSE,Gabriel Wood,M,4.22
G-03,Team 01,1314,CCDS,Nashit Bhatia,M,4.22
G-03,Team 01,1474,CEE,Riya Shah,F,4.09
G-03,Team 01,2119,EEE,Khairul Anuar Bin Mohd,M,4.05
G-03,Team 01,5781,MAE,Hina Bhatia,F,4.15
G-03,Team 02,1947,MAE,Keira Lee,F,3.94
G-03,Team 02,2121,MSE,Jianli,M,4.2
G-03,Team 02,2764,CEE,Maya Patel,F,4.09
G-03,Team 02,3414,CoB (NBS),Keng Tan,M,4.15
G-03,Team 02,5842,EEE,Harvey Tan,M,4.1
G-03,Team 03,3152,CEE,Lily Zhou,F,4.2
G-03,Team 03,3237,SPMS,Tomi Budi,M,4.05
G-03,Team 03,3418,CoB (NBS),Kobe Alexander,M,4.02
G-03,Team 03,3569,MAE,Neha Sharma,F,3.86
G-03,Team 03,5730,EEE,Qing Zhao,M,4.11
G-03,Team 04,1054,WKW SCI,Zeeshan Iqbal,M,4.06
G-03,Team 04,1693,SoH,Jasmine Sari,F,4.05
